Dam Name,NID ID,Owner Types,Primary Owner Type,Number of Associated Structures,Primary Purpose,Latitude,Longitude,State,Distance to Nearest City (Miles),State Regulated Dam,Federally Regulated Dam,Built Under the Authority of the Secretary of Agriculture,Primary Dam Type,Dam Types,Core Types,Foundation,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),Drainage Area (Sq Miles),Max Discharge (Cubic Ft/Second),Spillway Type,Spillway Width (Ft),Inspection Frequency,Hazard Potential Classification,Condition Assessment,Inundation Maps Added to NID?
Reynolds Pond,DE00054,State,State,0,Recreation,38.81408,-75.34476,Delaware,0,Yes,No,No,Gravity,Gravity;Earth,Unlisted/Unknown;Unlisted/Unknown,Unlisted/Unknown,11,,,11,Less than 25 feet,757,0,,Undetermined,468,468,384.83,37.2,6.6,340,Uncontrolled,75,1,High,Fair,No
Frd No 6,KS04411,Local Government,Local Government,0,Flood Risk Reduction,38.09749089,-95.92971789,Kansas,18,Yes,No,Yes,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,41,36,41,41,25-50 feet,1590,150740,1979,1970-1979,2230.78,2230.78,192,37.12,,5066,Uncontrolled,200,,Low,,No
Boundary Creek Dam #3,ND00164,Local Government,Local Government,0,Flood Risk Reduction,48.95685,-100.62398,North Dakota,0,Yes,No,Yes,Earth,Earth,Earth,Soil,51,,59,59,51-100 feet,4535,147549,1973,1970-1979,4346.1,4346.1,285,37.1,36.9,,Uncontrolled,200,,Low,Not Rated,No
Lehenbaur Lake Dam-Section 25,MO11162,Private,Private,0,Recreation,38.99174979,-91.99343967,Missouri,6,Yes,No,No,Earth,Earth,,,45,,45,45,25-50 feet,1400,270000,1977,1970-1979,867,867,404,37.1,4.53,1100,Uncontrolled,130,5,Low,Not Rated,No
Nichols Cooling Pond Wa,FL10114,Private,Private,0,Tailings,27.875601,-82.043701,Florida,0,Yes,No,No,Earth,Earth,Earth,Soil,25,20,27,27,25-50 feet,5000,434000,1990,1990-1999,850,850,740,37,0.06,10,None,12,0,Significant,Not Rated,No
SCS-Oak Creek Site-009,OK01041,State,State,0,Flood Risk Reduction,35.203586,-98.810192,Oklahoma,,Yes,No,Yes,Earth,Earth,Earth,Soil,54,49,54,54,51-100 feet,3970,0,1969,1960-1969,1271,1271,323,37,,5140,Controlled,2,5,Low,Not Rated,No
SCS-Quartermaster Creek Site-03,OK00993,State,State,0,Flood Risk Reduction,35.816086,-99.424487,Oklahoma,,Yes,No,Yes,Earth,Earth,Earth,Soil,45,41,45,45,25-50 feet,3937,0,1962,1960-1969,870,870,288,37,,1750,Controlled,2,5,Low,Not Rated,No
Rmg South Rib Dam,NV10775,Private,Private,0,Other,38.72255,-117.14249,Nevada,1.8,Yes,No,No,Earth,Earth,Earth,Soil,8,5,13,13,Less than 25 feet,3300,3250,2005,Since 2000,143.6,143.6,88.1,37,5,300,Uncontrolled,10,5,Low,Fair,No
Kelly Road Detention,CO02345,Local Government,Local Government,0,Flood Risk Reduction,39.73168,-104.890573,Colorado,0,Yes,No,No,Earth,Earth,,,32,32,32,32,25-50 feet,3300,1050,1954,1950-1959,800,800,360,37,9,60000,Uncontrolled,1625.5,3,High,Satisfactory,No
Springfield Lakeside Ash Disposal Pond Dam,IL50232,Local Government,Local Government,0,Other,39.76667,-89.60214,Illinois,0.1,Yes,No,No,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,28,,,28,25-50 feet,3200,0,1987,1980-1989,680,680,655,37,,20,Uncontrolled,2,5,Low,Not Available,No
Ecleto Creek WS NRCS Site 9a Dam,TX06646,Local Government,Local Government,0,Flood Risk Reduction,29.000833,-97.708333,Texas,,Yes,No,Yes,Earth,Earth,,,30,30,45,45,25-50 feet,3183,0,1993,1990-1999,4100,4100,763,37,7.9,5958,Uncontrolled,125,,Low,Not Rated,No
Dry Devils and Lowrey WS SCS Site 1 Dam,TX02298,Local Government,Local Government,0,Flood Risk Reduction,30.776618,-100.663577,Texas,13,Yes,No,Yes,Earth,Earth,Earth,Rock;Soil,48,48,48,48,25-50 feet,2480,227699,1961,1960-1969,9466,9466,200,37,20.61,24909,Uncontrolled,403.08,5,Significant,Satisfactory,No
Calaveras Creek WS SCS Site 6 Dam,TX01459,Local Government,Local Government,0,Flood Risk Reduction,29.38056,-98.292591,Texas,,Yes,No,Yes,Earth,Earth,Unlisted/Unknown;Unlisted/Unknown,Unlisted/Unknown,43,43,44,44,25-50 feet,2463,53480,1957,1950-1959,3262,3262,200,37,7,44239,Uncontrolled,503,5,High,Satisfactory,No
Chambers Creek WS SCS Site 33 Dam,TX03595,Local Government,Local Government,0,Flood Risk Reduction,32.406923,-97.301351,Texas,,Yes,No,Yes,Earth,Earth,,,28,28,32,32,25-50 feet,2300,91951,1961,1960-1969,1625,1625,171,37,3.82,7381,Uncontrolled,302.33,5,High,Fair,No
Upper Brushy Creek WS SCS Site 8 Dam,TX01368,Local Government,Local Government,0,Flood Risk Reduction,30.470298,-97.745865,Texas,4,Yes,No,Yes,Earth,Earth,Unlisted/Unknown;Unlisted/Unknown,Unlisted/Unknown,42,42,42,42,25-50 feet,2290,189755,1959,1950-1959,6935,6935,227,37,8.43,7389,Uncontrolled,512,5,High,Satisfactory,No
Culver,CO00858,Private,Private,0,Irrigation,40.268334,-105.153895,Colorado,3,Yes,No,No,Earth,Earth,,,14,19,19,19,Less than 25 feet,2150,52524,1881,Before 1900,370,370,148,37,0,4516,Uncontrolled,252,6,Low,Unsatisfactory,No
Frd No 4,KS09285,Local Government,Local Government,0,Flood Risk Reduction,39.77817625,-96.40227894,Kansas,5.5,Yes,No,Yes,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,40,37,46,46,25-50 feet,2069,96000,2006,Since 2000,1808,1808,222,37,4.87,4272,Uncontrolled,150,,Low,,No
Blake-Denton No. 1,WY01116,Private,Private,0,Irrigation,43.9708,-108.1448,Wyoming,14,Yes,No,No,Earth,Earth,Earth,Soil,15,10,15,15,Less than 25 feet,1953,18813,1916,1910-1919,265,265,184,37,0,0,Uncontrolled,18,5,Low,Fair,No
Lower Brushy Creek WS SCS Site 22 Dam,TX01330,Local Government,Local Government,0,Flood Risk Reduction,30.541786,-97.221486,Texas,,Yes,No,Yes,Earth,Earth,,,26,26,26,26,25-50 feet,1900,129564,1961,1960-1969,1883,1883,176,37,3.28,6322,Uncontrolled,308,,Low,Fair,No
SCS-Cotton-Coon-Mission Cr Site-005,OK20540,State,State,0,Flood Risk Reduction,36.984993,-96.026594,Oklahoma,,Yes,No,Yes,Earth,Earth,Earth,Soil,43,40,43,43,25-50 feet,1860,0,1977,1970-1979,1580,1580,158,37,,1210,Controlled,1,5,Low,Not Rated,No
Calaveras Creek WS SCS Site 10 Dam,TX01452,Local Government,Local Government,0,Flood Risk Reduction,29.30434,-98.283957,Texas,,Yes,No,Yes,Earth,Earth,Earth,Soil,40,40,47,47,25-50 feet,1818,41346,1958,1950-1959,4083,4083,116,37,7.3,24119,Uncontrolled,353.5,5,High,Satisfactory,No
Mountain Creek WS SCS Site 9 Dam,TX01310,Local Government,Local Government,0,Flood Risk Reduction,32.488621,-97.05361,Texas,,Yes,No,Yes,Earth,Earth,,,34,34,34,34,25-50 feet,1816,116566,1957,1950-1959,2462,2462,200,37,4.38,3025,Uncontrolled,102.5,5,High,Fair,No
Richland Creek WS SCS Site 68 Dam,TX04713,Local Government,Local Government,0,Flood Risk Reduction,31.970337,-96.96295,Texas,5.3,Yes,No,Yes,Earth,Earth,Earth,Unlisted/Unknown,37,36,37,37,25-50 feet,1796,99910,1975,1970-1979,1454,1454,199,37,2.49,2419,Uncontrolled,157.5,5,Significant,Fair,No
Wills Point Reservoir Dam,TX02830,Local Government,Local Government,0,Water Supply,32.729283,-96.01097,Texas,,Yes,No,No,Earth,Earth,Unlisted/Unknown;Unlisted/Unknown,Unlisted/Unknown,20,20,20,20,Less than 25 feet,1750,0,,Undetermined,568,568,384,37,2,4443,Uncontrolled,100,2,High,Unsatisfactory,No
Lakeview WS SCS Site 5 Dam,TX03719,Local Government,Local Government,0,Flood Risk Reduction,34.739861,-100.822127,Texas,,Yes,No,Yes,Earth,Earth,Earth,Unlisted/Unknown,52,52,52,52,51-100 feet,1730,328180,1975,1970-1979,4592,4592,196,37,15.3,12543,Uncontrolled,403,5,Significant,Fair,No
SCS-Boggy Creek Site-28,OK01077,State,State,0,Flood Risk Reduction,35.395302,-98.968944,Oklahoma,,Yes,No,Yes,Earth,Earth,Earth,Soil,33,30,33,33,25-50 feet,1640,0,1965,1960-1969,774,774,202,37,,1666,Controlled,2,5,Low,Not Rated,No
SCS-Big Wewoka Creek Site-16,OK01313,State,State,0,Flood Risk Reduction,35.158145,-96.586032,Oklahoma,,Yes,No,Yes,Earth,Earth,Earth,Soil,34,34,34,34,25-50 feet,1500,0,1963,1960-1969,952,952,217,37,,2198,Controlled,2,5,Low,Not Rated,No
Frd No 20,KS07723,Local Government,Local Government,0,Flood Risk Reduction,38.1062014,-96.49118351,Kansas,,Yes,No,Yes,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,47,,,47,25-50 feet,1450,193000,1995,1990-1999,2919,2919,229,37,8.06,5914,Uncontrolled,150,,Low,,No
SCS-Upper Black Bear Creek Site-29,OK01215,State,State,0,Flood Risk Reduction,36.393656,-97.558513,Oklahoma,,Yes,No,Yes,Earth,Earth,Earth,Soil,39,39,39,39,25-50 feet,1450,0,1963,1960-1969,1330,1330,233,37,,2850,Controlled,2,5,Low,Not Rated,No
Upton,WY00872,Local Government,Local Government,0,Water Supply,44.131389,-104.598333,Wyoming,68,Yes,No,No,Earth,Earth,Earth,Soil,30,25,30,30,25-50 feet,1430,38889,1907,1900-1909,500,500,362,37,0,0,Uncontrolled,30,5,Low,Fair,No
Richland Creek WS SCS Site 91a Dam,TX04754,Local Government,Local Government,0,Flood Risk Reduction,31.873189,-96.866256,Texas,,Yes,No,Yes,Earth,Earth,,,32,32,32,32,25-50 feet,1331,87160,1979,1970-1979,1474,1474,164,37,2.95,2,Uncontrolled,134,,Low,Not Rated,No
Clifton Off Channel Dam,TX07074,Local Government,Local Government,0,Water Supply,31.781036,-97.601744,Texas,,Yes,No,No,Earth,Earth,,,47,47,73,73,51-100 feet,1300,0,2000,Since 2000,731,731,501,37,0.36,1765,Uncontrolled,42.5,5,High,Satisfactory,No
Greenbriar Management Co. Lake Dam,OK12565,Private,Private,0,Flood Risk Reduction,35.34185125,-97.5434059,Oklahoma,0,Yes,No,No,Earth,Earth,Earth,Soil,24,24,24,24,Less than 25 feet,1270,0,1970,1970-1979,400,400,150,37,,16000,Controlled,1,0,Undetermined,Not Rated,No
Idlewild Lake,LA00068,State,State,0,Recreation,30.8083,-90.9686,Louisiana,5,Yes,No,No,Earth,Earth,Earth,Soil,22,19,22,22,Less than 25 feet,1250,65700,1956,1950-1959,440,440,400,37,,200,Controlled,4,5,Low,Fair,No
SCS-Caddo Creek Site-12,OK00432,State,State,0,Flood Risk Reduction,34.289951,-97.200182,Oklahoma,,Yes,No,Yes,Earth,Earth,Earth,Soil,37,32,37,37,25-50 feet,1200,0,1966,1960-1969,1798,1798,161,37,,3700,Controlled,1,5,Low,Not Rated,No
SCS-Cavalry Creek Site-28,OK01154,State,State,0,Flood Risk Reduction,35.271544,-98.895025,Oklahoma,,Yes,No,Yes,Earth,Earth,Earth,Soil,30,30,30,30,25-50 feet,1150,0,1959,1950-1959,814,814,266,37,,5310,Controlled,2,5,Low,Not Rated,No
Sather Dam,ND00153,Federal,Federal,0,Recreation,47.67409444,-103.8091028,North Dakota,0.1,Yes,Yes,No,Earth,Earth,Unlisted/Unknown;Unlisted/Unknown,Soil,29,24,29,29,25-50 feet,1100,70000,1964,1960-1969,448,300,448,37,6,1217,Uncontrolled,80,,Significant,Not Rated,No
SCS-Panther Creek Site-3,OK00417,State,State,0,Flood Risk Reduction,35.581948,-99.342328,Oklahoma,,Yes,No,Yes,Earth,Earth,Earth,Soil,32,32,32,32,25-50 feet,1100,0,1958,1950-1959,1027,1027,208,37,,5538,Controlled,2,5,Low,Not Rated,No
Wintermote No. 1,WY00281,Private,Private,0,Irrigation,42.753333,-105.114722,Wyoming,0,Yes,No,No,Earth,Earth,Earth,Soil,21,16,21,21,Less than 25 feet,1080,13750,1969,1960-1969,417,417,232,37,,,Uncontrolled,400,5,Low,Poor,No
Pass,WY00539,Private,Private,0,Irrigation,43.777,-106.758,Wyoming,96,Yes,No,No,Earth,Earth,Earth,Soil,36,31,36,36,25-50 feet,1030,16500,1959,1950-1959,526,526,305,37,,,Uncontrolled,85,5,Low,Poor,No
Ellen Trout Memorial Lake Dam,TX00975,Local Government,Local Government,0,Water Supply,31.375543,-94.724859,Texas,,Yes,No,No,Earth,Earth,Unlisted/Unknown;Unlisted/Unknown,Unlisted/Unknown,16,16,16,16,Less than 25 feet,1010,0,1925,1920-1929,441,441,194,37,3,5684,Uncontrolled,280,5,High,Fair,No
Lake Scott Dam,TX03624,Private,Private,0,,34.410964,-100.21395,Texas,,Yes,No,No,Earth,Earth,Unlisted/Unknown;Unlisted/Unknown,Unlisted/Unknown,33,33,34,34,25-50 feet,1010,0,1902,1900-1909,490,490,279,37,1.27,2,Uncontrolled,104,2,Significant,Poor,No
Clifty Creek Lake Dam,TX01858,Private,Private,0,"Fire Protection, Stock, Or Small Fish Pond",30.439112,-96.222112,Texas,,Yes,No,No,Earth,Earth,,,25,25,25,25,25-50 feet,1000,70000,1962,1960-1969,520,520,440,37,0,1,Uncontrolled,8,,Low,Not Rated,No
Franktown Parker Fpe-3,CO00275,Local Government,Local Government,0,Flood Risk Reduction,39.091674,-104.693072,Colorado,24,Yes,No,Yes,Earth,Earth,,,35,35,35,35,25-50 feet,1000,60990,1965,1960-1969,551,551,0,37,10,4705,None,160,3,Low,Not Rated,No
SCS-Rush Creek Site-013,OK00161,State,State,0,Flood Risk Reduction,34.742987,-97.807903,Oklahoma,,Yes,No,Yes,Earth,Earth,Earth,Soil,47,43,47,47,25-50 feet,920,0,1960,1960-1969,626,626,270,37,,2952,Controlled,2,5,Low,Not Rated,No
SCS-Little Deep Fork Creek Site-05,OK10414,State,State,0,Flood Risk Reduction,35.880471,-96.617634,Oklahoma,,Yes,No,Yes,Earth,Earth,Earth,Soil,35,35,35,35,25-50 feet,880,0,1968,1960-1969,1056,1056,157,37,,3025,Controlled,1,5,Low,Not Rated,No
SCS-Sandstone Creek Site-010a,OK00024,State,State,0,Flood Risk Reduction,35.466473,-99.5557,Oklahoma,,Yes,No,Yes,Earth,Earth,Earth,Soil,44,40,44,44,25-50 feet,870,0,1951,1950-1959,558,558,397,37,,2700,Controlled,2,5,Low,Not Rated,No
Mitchell Dam,MI04024,State,State,0,Recreation,42.30862,-85.339073,Michigan,5,No,No,No,Earth,Earth,,,9,7,9,9,Less than 25 feet,825,0,1996,1990-1999,170,170,85,37,1.67,218,Uncontrolled,103,5,Low,Not Rated,No
Frd No H-12,KS07186,Local Government,Local Government,0,Flood Risk Reduction,38.46467031,-95.16743993,Kansas,6,Yes,No,No,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,33,,,33,25-50 feet,760,114819,1990,1990-1999,1848.5,1848.5,202.7,37,4.24,4056,Uncontrolled,170,,Low,,No
Bass Lake Dam,MO11224,Private,Private,0,Recreation,39.00038989,-94.05707503,Missouri,0,Yes,No,No,Earth,Earth,Earth,Rock;Soil,49,44,49,49,25-50 feet,750,155000,1950,1950-1959,1010,1010,600,37,0.74,1162,Uncontrolled,44,3,High,Satisfactory,No
Marion Prison Lake Dam,IL50226,Federal,Federal,0,Water Supply,37.65562,-88.97984,Illinois,0.1,Yes,No,No,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,26,,,26,25-50 feet,695,0,1991,1990-1999,601,601,270,37,0.4,1085,Uncontrolled,35,3,Significant,Not Available,No
Rock Lake,WY00033,Private,Private,0,Irrigation,41.987222,-105.025556,Wyoming,8,Yes,No,No,Earth,Earth,Earth,Soil,15,11,15,15,Less than 25 feet,660,3430,1930,1930-1939,334,334,250,37,0,0,Uncontrolled,4,5,Low,Fair,No
Palmyra-Modesto City Lake Dam,IL00772,Public Utility,Public Utility,0,Water Supply,39.44421,-89.95745,Illinois,13,Yes,No,No,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,50,,,50,51-100 feet,620,0,1965,1960-1969,967,967,565,37,1.8,4179,Uncontrolled,209,3,Significant,Not Available,No
Fern Lake Dam,TX03864,Private,Private,0,Recreation,31.51707,-94.70378,Texas,,No,No,No,Earth,Earth,Unlisted/Unknown;Unlisted/Unknown,Soil,18,18,18,18,Less than 25 feet,620,0,1890,Before 1900,329,329,228,37,0,0,Uncontrolled,20,,Low,Not Rated,No
Binco,CO02296,Private,Private,0,Irrigation,40.270005,-106.542229,Colorado,24,Yes,No,No,Earth,Earth,Earth,Rock;Soil,45,45,45,45,25-50 feet,600,53215,1913,1910-1919,480,480,312,37,3,530,Uncontrolled,12,6,Low,Satisfactory,No
Grand Mesa #8,CO00827,Private,Private,0,Irrigation,39.041673,-108.050567,Colorado,27,Yes,No,No,Earth,Earth,Earth,Rock;Soil,21,16,21,21,Less than 25 feet,570,9400,1901,1900-1909,678,678,384,37,3,830,Uncontrolled,76,2,Significant,Fair,No
Texley East,SD02219,Federal,Federal,0,Fish and Wildlife Pond,45.59996324,-101.9561251,South Dakota,60,No,Yes,No,Earth,Earth,Earth,Soil,24,19,24,24,Less than 25 feet,530,26740,1989,1980-1989,421,395,421,37,8,484,Uncontrolled,100,10,Low,Not Rated,No
Priest Lake Level Control Structure,MI00770,Private,Private,0,Recreation,42.03465581,-86.13224273,Michigan,20,No,No,No,Earth,Earth,,,8,6,8,8,Less than 25 feet,500,0,1974,1970-1979,240,240,70,37,0,160,Uncontrolled,6,5,Low,Satisfactory,No
Willow Creek Watershed Dam A- 28,MO11231,Local Government,Local Government,0,Grade Stabilization,39.26881651,-94.02731931,Missouri,,No,No,Yes,Earth,Earth,Earth,Soil,28,28,30,30,25-50 feet,475,10717,1970,1970-1979,71,71,32,37,2600,255,Uncontrolled,40,0,Low,Not Rated,No
Weston,WY00641,Private,Private,0,Irrigation,44.568611,-107.268333,Wyoming,0,Yes,No,No,Earth,Earth,Earth,Soil,18,15,18,18,Less than 25 feet,440,6160,1913,1910-1919,370,,370,37,2.2,640,Uncontrolled,150,5,Significant,Poor,No
Fern Arnold Dam,FL83666,Private,Private,,Other,30.770737,-85.906426,Florida,0,Yes,No,No,Earth,Earth,Earth,Soil,10,9,11,11,Less than 25 feet,400,6968,1982,1980-1989,224.5,224.5,50,37,0.98,0,Uncontrolled,36,0,Low,Not Rated,No
Lilylands,CO00159,Private,Private,0,Irrigation,37.915009,-108.355576,Colorado,13,Yes,No,No,Earth,Earth,Earth,Rock;Soil,50,50,54,54,51-100 feet,380,89448,1959,1950-1959,653,653,468,37,1,440,None,15,6,Low,Satisfactory,No
Old Mt. Olive City Lake Dam,IL00766,Local Government,Local Government,0,Recreation,39.08497,-89.74667,Illinois,8,Yes,No,No,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,37,,,37,25-50 feet,380,0,1900,1900-1909,539,539,411,37,0.8,1414,Uncontrolled,45,3,Significant,Not Available,No
Cottonwood #5,CO00806,Private,Private,0,Irrigation,39.088336,-107.95557,Colorado,9,Yes,No,No,Earth,Earth,Earth,Rock;Soil,22,17,24,24,Less than 25 feet,370,10400,1909,1900-1909,528,528,352,37,1,637,Uncontrolled,17,1,High,Fair,No
Centreville Dam,MI00552,Private,Private,0,Hydroelectric,41.92166667,-85.50833333,Michigan,1,Yes,No,No,Gravity,Gravity;Earth,,,13,12,13,13,Less than 25 feet,340,0,1890,Before 1900,200,200,100,37,140,2300,Controlled,64,5,Low,Fair,No
G19 Dam,ND00569,Federal,Federal,0,Fish and Wildlife Pond,46.724998,-100.014,North Dakota,,No,Yes,No,Earth,Earth,Unlisted/Unknown;Unlisted/Unknown,Unlisted/Unknown,9,9,9,9,Less than 25 feet,310,3046,1930,1930-1939,199,199,70,37,55.2,366,Controlled,26,5,Low,Fair,No
Bergman Lake,WY01267,Private,Private,0,Irrigation,44.053333,-111.039722,Wyoming,35,Yes,No,No,Earth,Earth,Earth,Soil,12,7,12,12,Less than 25 feet,300,3000,1953,1950-1959,373,373,201,37,0,0,Uncontrolled,25,5,Low,Poor,No
Shannon Dam,MO51402,Private,Private,0,Grade Stabilization,40.3387,-91.7744,Missouri,,No,No,No,Earth,Earth,Earth,Soil,26,24,29,29,25-50 feet,280,9073,2006,Since 2000,54.95,54.95,39.6,37,2598,21.5,Uncontrolled,10,0,Low,Not Rated,No
Rundle Du,ND00467,Federal,Federal,0,Fish and Wildlife Pond,46.60262778,-103.0984611,North Dakota,18,Yes,Yes,No,Earth,Earth,Earth,Soil,12,9,12,12,Less than 25 feet,240,4000,1990,1990-1999,260,260,200,37,1,0,Uncontrolled,60,10,Low,Not Rated,No
Giese Wetland,MN01021,Private,Private,0,Fish and Wildlife Pond,45.78034,-96.03764,Minnesota,6,Yes,No,No,Earth,Earth,Unlisted/Unknown;Unlisted/Unknown,Unlisted/Unknown,12,,12,12,Less than 25 feet,200,976,1997,1990-1999,270,270,102.7,37,0.46,149,Controlled,10,8,Low,Fair,No
Robin Hollow Pond,RI00805,Local Government,Local Government,0,Water Supply,41.91420746,-71.38421628,Rhode Island,1,Yes,No,No,Earth,Earth;Masonry,,,13,13,15,15,Less than 25 feet,200,0,1937,1930-1939,240,240,208,37,27,1680,,58,5,Significant,Fair,No
Bangor Dam,MI00384,Local Government,Local Government,0,Recreation,42.31666667,-86.11666667,Michigan,0,Yes,No,No,Earth,Earth,,,13,13,13,13,Less than 25 feet,180,0,1975,1970-1979,97,97,55,37,0,1000,Controlled,40,0,Low,Not Rated,No
Kovach,WY01732,Federal,Federal,0,"Fire Protection, Stock, Or Small Fish Pond",41.862,-110.496,Wyoming,0,Yes,No,No,Earth,Earth,Earth,Soil,16,13,16,16,Less than 25 feet,150,3135,1988,1980-1989,89,,89,37,0,0,Uncontrolled,12,5,Low,Poor,No
Oknoname 113154,OK12958,Private,Private,0,Other,36.69625199,-96.53721237,Oklahoma,40,Yes,No,No,Earth,Earth,Earth,Soil,25,22,25,25,25-50 feet,100,0,1950,1950-1959,310,200,310,37,,140,Controlled,2,5,Low,Not Rated,No
Billings Lake Wpa 1 Dam,ND00454,Federal,Federal,0,Fish and Wildlife Pond,48.608738,-98.496323,North Dakota,,Yes,Yes,No,Earth,Earth,,Unlisted/Unknown,7,5,13,13,Less than 25 feet,1200,7200,1977,1970-1979,384,384,39,36.92,12,1280,,471,5,Low,Satisfactory,No
Masseys Mill Pond Dam,DE00029,State,State,0,Fish and Wildlife Pond,39.23949,-75.61747,Delaware,6.1,No,No,No,Gravity,Gravity;Earth,Unlisted/Unknown;Unlisted/Unknown,Unlisted/Unknown,12,,,12,Less than 25 feet,380,0,1933,1930-1939,490,490,322.38,36.92,11.83,325,Controlled,33,0,Low,Not Rated,No
Frd No 35,KS02272,Local Government,Local Government,0,Flood Risk Reduction,37.56786961,-96.4440427,Kansas,20,Yes,No,Yes,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,68,52,68,68,51-100 feet,1600,203540,1973,1970-1979,2913.27,2913.27,266,36.86,7.42,,Uncontrolled,310,,Low,,No
Brady Creek WS SCS Site 38 Dam,TX01618,Local Government,Local Government,0,Flood Risk Reduction,31.247656,-99.741331,Texas,,Yes,No,Yes,Earth,Earth,,,26,26,26,26,25-50 feet,2500,95000,1957,1950-1959,3021,3021,121,36.8,4.54,19.7,Uncontrolled,355,,Low,Not Rated,No
Martinez Creek WS SCS Site 1 Dam,TX01461,Local Government,Local Government,0,Flood Risk Reduction,29.471269,-98.328226,Texas,,Yes,No,Yes,Earth,Earth,Earth;Unlisted/Unknown,Soil,43,43,52,52,51-100 feet,2285,167090,1964,1960-1969,4093,4093,113.8,36.8,6.2,24151,Uncontrolled,304.5,5,High,Satisfactory,No
Frd No 41,KS04337,Local Government,Local Government,0,Flood Risk Reduction,37.47376665,-96.35941977,Kansas,13,Yes,No,Yes,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,49,45,49,49,25-50 feet,1130,125170,1978,1970-1979,1873.58,1873.58,277,36.76,6.13,,Uncontrolled,100,,Low,,No
Frd No 9,KS05288,Local Government,Local Government,0,Flood Risk Reduction,37.93721394,-96.86912884,Kansas,6,Yes,No,Yes,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,29,,,29,25-50 feet,1800,97500,1982,1980-1989,3450,3450,36.7,36.73,1.07,2500,Uncontrolled,140,,Low,,No
Frd No 29,KS02110,Local Government,Local Government,0,Flood Risk Reduction,37.63760397,-96.71237996,Kansas,18,Yes,No,Yes,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,44,42,44,44,25-50 feet,1500,101000,1967,1960-1969,2720,2720,165,36.61,6.35,6570,Uncontrolled,160,,Low,,No
Richland Creek WS SCS Site 110 Dam,TX02634,Local Government,Local Government,0,Flood Risk Reduction,31.891381,-96.690129,Texas,,Yes,No,Yes,Earth,Earth,,,30,30,30,30,25-50 feet,1967,98895,1970,1970-1979,791,791,191,36.5,1.31,2,Uncontrolled,55,,Low,Not Rated,No
Frd No 44,KS04671,Local Government,Local Government,0,Flood Risk Reduction,39.10854866,-97.96906556,Kansas,5,Yes,No,Yes,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,45,49,52,52,51-100 feet,1635,199230,1980,1980-1989,3800,3800,184.16,36.45,7.95,,Uncontrolled,100,,High,Fair,No
SCS-Cobb Creek Site-002,OK20569,State,State,0,Flood Risk Reduction,35.366549,-98.697206,Oklahoma,,Yes,No,Yes,Earth,Earth,Earth,Soil,44,33,39,44,25-50 feet,1300,0,1957,1950-1959,3205.3,3205.3,166,36.2,5.63,19114,Controlled,4,1,High,Fair,No
East Fork Above Lavon WS SCS Site 43 Dam,TX01137,Local Government,Local Government,0,Flood Risk Reduction,33.373798,-96.596763,Texas,,Yes,No,Yes,Earth,Earth,,,44,44,44,44,25-50 feet,1230,55813,1959,1950-1959,1504,1504,225,36.2,2.38,4241,Uncontrolled,208,,Low,Not Rated,No
SCS-Sandstone Creek Site-016a,OK00932,State,State,0,Flood Risk Reduction,35.467351,-99.670841,Oklahoma,,Yes,No,Yes,Earth,Earth,Earth,Soil,71,66,72,72,51-100 feet,2315,0,1951,1950-1959,3142,3142,389.7,36.1,7.97,29701,Controlled,5,1,High,Fair,No
Trophy Dam,TX07115,Private,Private,0,Recreation,30.30071,-95.56273,Texas,,Yes,No,No,Earth,Earth,,,26,26,26,26,25-50 feet,1060,45000,2004,Since 2000,542,542,390,36.1,0.27,850,Uncontrolled,8,5,High,Satisfactory,No
Upper Brushy Creek WS SCS Site 3 Dam,TX01362,Local Government,Local Government,0,Flood Risk Reduction,30.554288,-97.805767,Texas,,Yes,No,Yes,Earth,Earth,Unlisted/Unknown;Unlisted/Unknown,Rock;Soil,55,55,55,55,51-100 feet,4400,319640,1962,1960-1969,4954,4954,196,36,8.5,26566.3,Uncontrolled,252.84,5,High,Satisfactory,No
Lower San Saba River WS SCS Site 3 Dam,TX00356,Local Government,Local Government,0,Flood Risk Reduction,31.262609,-99.091559,Texas,3,Yes,No,Yes,Earth,Earth,Unlisted/Unknown;Unlisted/Unknown,Unlisted/Unknown,26,26,26,26,25-50 feet,4000,139487,1958,1950-1959,2106,2106,119,36,5.4,40440,Uncontrolled,200,,Low,Not Rated,No
